Name,Pos,Team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Carson Spiers,RP,CIN,42,8.1,2.8,1.5,0.297,71.50%,4.66,4.67,0
Clay Helvey,RP,WSH,24,7.8,4.3,1.2,0.295,71.80%,4.5,4.67,0
Jimmy Herget,RP,COL,41,7.5,2.7,1.5,0.306,69.70%,4.89,4.67,0
Logan Gillaspie,RP,SDP,28,7.4,3.2,1.3,0.292,71.70%,4.51,4.67,0
Anthony Simonelli,RP,KCR,12,7.3,3.6,1.2,0.299,70.50%,4.7,4.67,0
Mason Adams,SP,CHW,9,6.1,2.8,1.2,0.3,70.40%,4.54,4.67,0.1
Cole Winn,RP,TEX,33,8.1,4,1.3,0.292,72.10%,4.53,4.68,0
Nicholas Padilla,RP,PHI,21,7.9,4.7,1.1,0.295,72.30%,4.4,4.68,0
Amos Willingham,RP,WSH,35,7.4,3.5,1.3,0.292,71.50%,4.54,4.68,0
Matt Waldron,SP,SDP,118,7.2,2.7,1.4,0.29,70.40%,4.6,4.68,0.9
Brent Suter,RP,CIN,58,7.2,2.9,1.4,0.304,72.00%,4.6,4.68,0
Trevor Williams,SP,FA,139,7.1,2.8,1.4,0.297,70.80%,4.69,4.68,0.9
Jared Kollar,RP,SDP,12,6.8,2.5,1.4,0.289,71.50%,4.51,4.68,0
Zach Maxwell,RP,CIN,37,9.7,5,1.3,0.297,73.00%,4.58,4.69,0
Jacob Misiorowski,SP,MIL,65,9,4.6,1.2,0.29,72.00%,4.5,4.69,0.4
Jacob Misiorowski,RP,MIL,28,9,4.6,1.2,0.29,72.00%,4.5,4.69,0
Deivi García,RP,MIL,25,8.7,4.3,1.3,0.289,72.30%,4.52,4.69,0
Hagen Smith,SP,CHW,19,8.1,3.4,1.4,0.289,69.60%,4.88,4.69,0.2
Luarbert Arias,RP,MIA,41,8,3.5,1.4,0.288,71.40%,4.6,4.69,-0.1
Jarret Whorff,RP,MIN,22,7.5,4,1.2,0.298,71.00%,4.65,4.69,0
Zach Logue,RP,LAD,38,7.3,2.7,1.5,0.291,72.20%,4.47,4.69,0
Po-Yu Chen,RP,PIT,8,6.4,3,1.2,0.299,70.10%,4.64,4.69,0
Ryan Zeferjahn,RP,LAA,65,8.8,4.3,1.3,0.29,72.30%,4.52,4.7,-0.1
Bradgley Rodriguez,RP,SDP,26,8.4,4.5,1.2,0.291,72.60%,4.46,4.7,0
Tristan Garnett,RP,PHI,17,7.9,4.4,1.2,0.291,73.30%,4.34,4.7,0
Matt Cronin,RP,WSH,28,7.7,4,1.3,0.288,72.90%,4.4,4.7,0
Will Smith,RP,FA,41,8,3.5,1.4,0.289,72.20%,4.57,4.71,-0.2
Jay Groome,RP,SDP,8,7.9,4.1,1.3,0.289,73.20%,4.38,4.71,0
T.J. Sikkema,RP,CIN,24,7.3,3.2,1.3,0.301,71.70%,4.54,4.71,0
Rhett Lowder,SP,CIN,146,7.1,3,1.4,0.304,70.30%,4.75,4.71,1.5
Jackson Jobe,SP,DET,129,7.1,3.4,1.3,0.287,70.90%,4.58,4.71,0.4
Jackson Jobe,RP,DET,17,7.1,3.4,1.3,0.287,70.90%,4.58,4.71,0
Jack O'Loughlin,RP,COL,26,7.1,3.2,1.3,0.31,70.50%,4.81,4.71,0
Jared Shuster,RP,CHW,68,7,3.3,1.3,0.289,72.50%,4.44,4.71,0
Penn Murfee,RP,CHW,44,8,3.5,1.4,0.291,72.10%,4.58,4.72,0
Wesley Moore,RP,PHI,15,8,4.3,1.2,0.291,72.90%,4.39,4.72,0
Bailey Horn,RP,BOS,28,7.9,4.4,1.2,0.299,71.90%,4.61,4.72,0
Ryan Gusto,SP,HOU,37,7.2,3.1,1.4,0.293,70.70%,4.65,4.72,0.2
Ryan Gusto,RP,HOU,28,7.2,3.1,1.4,0.293,70.70%,4.65,4.72,0
Gunnar Hoglund,SP,ATH,55,6.5,2.8,1.3,0.287,70.60%,4.53,4.72,0.2
Gunnar Hoglund,RP,ATH,17,6.5,2.8,1.3,0.287,70.60%,4.53,4.72,0
Carson Palmquist,SP,COL,9,8.8,3.8,1.5,0.297,71.80%,4.72,4.73,0.1
Carson Palmquist,RP,COL,21,8.8,3.8,1.5,0.297,71.80%,4.72,4.73,0
Sam Aldegheri,SP,LAA,18,8.3,4,1.3,0.292,72.50%,4.54,4.73,0.2
Sam Aldegheri,RP,LAA,14,8.3,4,1.3,0.292,72.50%,4.54,4.73,0
